code,title,authors,area,subarea,edition,language,volume,subtitle,isbn,year,publisher,barcode
BIO-02.01,Molecular Biology of the Cell,"Bruce Alberts, Dennis Bray, Julian Lewis, Martin Raff, Keith Roberts, James D. Watson",BIO,,2,2,,,,,,
BIO-02.01,Molecular Biology of the Cell,"Bruce Alberts, Dennis Bray, Julian Lewis, Martin Raff, Keith Roberts, James D. Watson",BIO,,2,2,,,,,,
BIO-02.01,Molecular Biology of the Cell,"Bruce Alberts, Dennis Bray, Julian Lewis, Martin Raff, Keith Roberts, James D. Watson",BIO,,2,2,,,,,,
BIO-02.02,Molecular Biology of the Cell,"John Wilson, Tim Hunt",BIO,,5,2,,The Problems Book,,,,
BIO-02.03,Biologia Celular e Molecular,"L. C. Junqueira, José Carneiro",BIO,,10,1,,,,,,
BIO-02.04,Biología Celular y Molecular,Eduardo  De Robertis,BIO,,10,3,,,,,,
BIO-02.05,Bioquímica Celular,"Enio C. Vieira, Giovanni Gazzineli, Marcos Mares-Guia",BIO,,1,1,,,,,,
BIO-02.06,Microbiology,"Bernard D. Davis, Renato Dulbecco, Hermann n. Eisen, Harold S. Ginsberg, W. Barry Wood Jr., Maclyn McCarty",BIO,,2,2,,,,,,
FIS-02.01  v.1,Mecânica Clássica,Kazunori Watari,FIS,,2,1,1,,,,,
FIS-02.01  v.1,Mecânica Clássica,Kazunori Watari,FIS,,2,1,1,,,,,
FIS-02.01  v.2,Mecânica Clássica,Kazunori Watari,FIS,,1,1,2,,,,,
FIS-02.01  v.2,Mecânica Clássica,Kazunori Watari,FIS,,1,1,2,,,,,
FIS-02.02,Introdução à Mecânica Clássica,Artur O. Lopes,FIS,,1,1,,,,,,
FIS-02.03,Theoretical Mechanics,"M. Movnin, A. Izrayelit",FIS,,1,2,,,,,,
FIS-02.04,Leciones sobre Teoría de la Mecánica y sus Aplicaciones,M. Lucini,FIS,,1,3,,,,,,
FIS-02.05,Mecânica Física,Tore Johnson,FIS,,1,1,,Curso Fundamental em Nível Superior,,,,
